name,type,status,latitude,longitude,address,state,region,country,zip,timeZone,Verified_Lat,Verified_Long,Match_Status,API_Status
SWF5,AR Sortable,Active,38.7946,-106.53484,"22 McBride Road, Slate Hill, NY",NY,NE,United States,33032,America/Denver (UTC:-06:00),41.401792,-74.462275,Mismatch,OK
SWI1,SSD FC,Active,43.073,-88.2083,"W232N2950 Roundy Circle E, Pewaukee, WI",WI,GL,United States,43551,America/Chicago (UTC:-05:00),43.0738075,-88.2074928,Match,OK
SYR1,AR Sortable,Active,43.12195,-76.20905,"7211 Morgan Rd, Clay, NY",NY,NE,United States,33570,America/New_York (UTC:-04:00),43.1219449,-76.209045,Match,OK
SYS3,SSD,Idle,35.7507,-84.01329,"1511 Robert C Jackson Dr, Maryville, TN",TN,MS,United States,33815,America/New_York (UTC:-04:00),35.7494905,-84.0147228,Mismatch,OK
TCY1,IXD,Active,37.90289,-121.23423,"2690 E. Arch Airport Road, Stockton, CA",CA,SW,United States,33823,America/Los_Angeles (UTC:-07:00),37.903763,-121.234527,Match,OK
TCY2,IXD,Active,37.90255,-121.20686,"6201 S. Newcastle Rd, Stockton, CA",CA,SW,United States,33637,America/Los_Angeles (UTC:-07:00),37.9035151,-121.2031302,Mismatch,OK
TCY5,Sort Center,Active,37.73075,-121.51661,"6250 Promontory Pkwy, Tracy, CA",CA,SW,United States,34475,America/Los_Angeles (UTC:-07:00),37.7314514,-121.5186725,Mismatch,OK
TCY9,Sort Center,Active,38.01211,-121.74342,"Contra Costa Logistics Center, Oakley, CA",CA,SW,United States,34637,America/Los_Angeles (UTC:-07:00),38.021084,-121.6225859,Mismatch,OK
TEB3,Traditional Non-Sort,Active,39.75764,-75.37813,"2651 Oldmans Creek Road, Logan, NJ",NJ,NE,United States,8512,America/New_York (UTC:-04:00),39.7597047,-75.3762552,Mismatch,OK
TEB4,Traditional Non-Sort,Active,39.68602,-75.42834,"747 Courses Landing Rd, Carney's Point, NJ",NJ,NE,United States,74116,America/New_York (UTC:-04:00),39.6850335,-75.4281163,Match,OK
TEB6,Traditional Non-Sort,Active,40.29155,-74.50591,"22 Highstown-Cranbury Station Road, Cranbury Township, NJ",NJ,NE,United States,74116,America/New_York (UTC:-04:00),40.2930276,-74.5044867,Mismatch,OK
TEB9,IXD,Active,40.54076,-74.55994,"601 Randolph Road, Somerset, NJ",NJ,NE,United States,85043,America/New_York (UTC:-04:00),40.539193,-74.5596757,Mismatch,OK
TEN1,Returns,Active,40.37484,-75.94611,"1002 Patriot Parkway, Muhlenberg Township, PA",PA,NE,United States,85756,America/New_York (UTC:-04:00),40.375946,-75.9440405,Mismatch,OK
TEX1,Lockers +,Active,30.28352,-97.73488,"University of Texas at Austin, Austin, TX",TX,TX,United States,85756,America/Chicago (UTC:-05:00),30.2931676,-97.7219227,Mismatch,OK
TLH2,AR Sortable,Active,30.48727,-84.16823,"Mahan Drive and Thornton Road, Tallahassee, FL",FL,FL,United States,76033,America/New_York (UTC:-04:00),30.4803482,-84.1719342,Mismatch,OK
TMB8,IXD,Active,25.51089,-80.40125,"13200 Southwest 272 St, Homestead, FL",FL,FL,United States,95215,America/New_York (UTC:-04:00),25.5143438,-80.4045124,Mismatch,OK
TOL3,IXD,Active,41.54185,-83.57001,"9240 Fremont Pike, Perrysburg, OH",OH,MW,United States,37777,America/New_York (UTC:-04:00),41.5380797,-83.5727325,Mismatch,OK
TPA1,AR Sortable,Active,27.72721,-82.38768,"3350 Laurel Ridge Avenue, Ruskin, FL",FL,FL,United States,37801,America/New_York (UTC:-04:00),27.7297539,-82.3862284,Mismatch,OK
TPA2,AR Non Sortable,Active,28.02034,-82.05312,"1760 County Line Road, Lakeland, FL",FL,FL,United States,85034,America/New_York (UTC:-04:00),28.0224784,-82.0529134,Mismatch,OK
TPA3,Traditional Non-Sort,Active,28.15287,-81.81645,"676 C. Fred Jones Blvd, Auburndale, FL",FL,FL,United States,94107,America/New_York (UTC:-04:00),28.151974,-81.8122738,Mismatch,OK
TPA4,AR Sortable,Active,28.02852,-82.35314,"8727 Harney Rd, Temple Terrace, FL",FL,FL,United States,90064,America/New_York (UTC:-04:00),28.0276994,-82.354797,Mismatch,OK
TPA6,AMXL,Active,29.2271,-82.18243,"3400 North West 35th Street, Ocala, FL",FL,FL,United States,92614,America/New_York (UTC:-04:00),29.2272387,-82.1820262,Match,OK
TPA8,Sort Center,Idle,28.32216,-82.36158,"Owned land, NA, FL",FL,FL,United States,90065,America/New_York (UTC:-04:00),31.000968,-79.974306,Mismatch,OK
TTN2,AMXL,Active,40.31883,-74.49659,"343 Half Acre Road, Cranbury, NJ",NJ,NE,United States,92110,America/New_York (UTC:-04:00),40.3213554,-74.4519982,Mismatch,OK
TUL2,AR Sortable,Active,36.21286,-95.83965,"4040 North 125th East Avenue, Tulsa, OK",OK,TX,United States,80216,America/Chicago (UTC:-05:00),36.212731,-95.839882,Match,OK
TUL5,Sort Center,Active,36.20371,-95.8657,"3511 N. Mingo Rd E, Tulsa, OK",OK,TX,United States,32819,America/Chicago (UTC:-05:00),36.2048882,-95.8673198,Mismatch,OK
TUS1,Returns,Active,33.42096,-112.17571,"5333 West Lower Buckeye Road, Phoenix, AZ",AZ,SW,United States,33610,America/Phoenix (UTC:-07:00),33.4213625,-112.1772269,Mismatch,OK
TUS2,AR Sortable,Active,32.13141,-110.83818,"6701 South Kolb Road, Tucson, AZ",AZ,SW,United States,33166,America/Phoenix (UTC:-07:00),32.1293889,-110.8409045,Mismatch,OK
TUS5,Sort Center,Active,32.12178,-110.91254,"3590 East Corona Rd, Tucson, AZ",AZ,SW,United States,30309,America/Phoenix (UTC:-07:00),32.1224559,-110.9108202,Mismatch,OK
TXZ5,Sort Center,Active,32.37711,-97.42352,"3257 County Road 1216, Cleburne, TX",TX,TX,United States,30096,America/Chicago (UTC:-05:00),32.375478,-97.4314837,Mismatch,OK
TYC2,Warehouse,Active,37.90255,-121.20686,"6201 S. Newcastle Rd, Stockton, CA",CA,SW,United States,60642,America/Los_Angeles (UTC:-07:00),37.9035151,-121.2031302,Mismatch,OK
TYS1,AR Sortable,Active,35.83418,-83.9624,"625 Pine Lakes Dr., Louisville, TN",TN,MS,United States,60191,America/New_York (UTC:-04:00),35.8344193,-83.961862,Match,OK
TYS5,Sort Center,Active,35.74848,-84.05381,"Fred Lawson Dr. & Big Springs Rd., Maryville, TN",TN,MS,United States,90058,America/New_York (UTC:-04:00),35.7533944,-84.044166,Mismatch,OK
